movieId,adult,popularity,originalTitle,overview,tagline,openDt,posterPath,directorId,genreId,countryId,runtime
247,0,10.2233,The Killing,The Killing was Stanley Kubrick??s first film with a professional cast and the first time he achieved public recognition as the unconventional director he??s now known for. The story is of ex-prisoners who plan to set up a racetrack so they can live a life without monetary worries. One of the more exceptional films of the 1950??s.,"""""""...Like No Other Picture Since """"""""Scarface"""""""" and """"""""Little Caesar""""""""!""""""",1956-05-08,/eUfj1NXxd7yIiCrqAOUm1MYL2CQ.jpg,240,18,US,85
252,0,12.4166,Willy Wonka & the Chocolate Factory,Eccentric candy man Willy Wonka prompts a worldwide frenzy when he announces that golden tickets hidden inside five of his delicious candy bars will admit their lucky holders into his top-secret confectionary. But does Wonka have an agenda hidden amid a world of Oompa Loompas and chocolate rivers?,It's Scrumdiddlyumptious!,1971-06-29,/b94qXd1FcIwgzv0NYMUe2bjrzJR.jpg,3451,10751,US,100
253,0,9.77377,Live and Let Die,James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big.,Roger Moore is James Bond.,1973-07-05,/p34OScaro2KdISrT4EMfeh1aS0E.jpg,9915,12,GB,121
288,0,16.7159,High Noon,High Noon is about a recently freed leader of a gang of bandits in the desert who is looking to get revenge on the Sheriff who put him in jail. A legendary western film from the Austrian director Fred Zinnemann.,The story of a man who was too proud to run.,1952-03-27,/teFvLNdppclC01dZodBTyaP3lGK.jpg,4065,37,US,85
290,0,8.38703,Barton Fink,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,There's only one thing stranger than what's going on inside his head. What's going on outside.,1991-08-01,/e0YvBTPwIL6Jb29glF3LE9n8GH2.jpg,1223,35,GB,116
291,0,2.20395,Riding Giants,Riding Giants is story about big wave surfers who have become heroes and legends in their sport. Directed by the skateboard guru Stacy Peralta.,,2004-07-09,/A7QTmd5wzeJKkr2FZCcqsefrku1.jpg,4319,99,FR,105
294,0,1.55311,Desert Hearts,The story of straight-edge literature professor Vivian who travels to Reno to get away from a relationship breakup when she falls in love with an attractive and unconventional girl named Cay.,,1985-10-01,/vlQBjV04m8Xb6G1LuDYjtm0IB9p.jpg,0,18,US,96
299,0,7.29506,Ocean's Eleven,Ocean's Eleven is the 'Rat-Pack' comedy about robber Danny Ocean and his gang's attempt to rob the five biggest casinos in Las Vegas.,In any other town they'd be the bad guys...,1960-02-17,/lSPXGEp4EpFOPIUg9FKIKF72m50.jpg,2000,53,US,127
313,0,11.5561,Snow Cake,A drama focused on the friendship between a high-functioning autistic woman and a man who is traumatized after a fatal car accident.,,2006-02-09,/2jd8daNxgHAX9rOdxyrnm6yK8py.jpg,4575,10749,CA,112
318,0,4.93823,The Million Dollar Hotel,The Million Dollar Hotel starts with a jump from a roof top that clears up a death in a hotel that was burning to the ground where a lot of strange people had been living.,,2000-02-09,/4wxOzpCjXY2RQgS3YoHuvKdItTF.jpg,2303,18,US,122
320,0,11.425,Insomnia,Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.,A tough cop. A brilliant killer. An unspeakable crime.,2002-05-24,/zb0D3vfjcPFvuyHp1mFPOIcYJWH.jpg,525,80,US,118
321,0,2.87336,Mambo Italiano,"""""""A sweet comic film about an Italian man who comes out of the closet and the affect it has on his life and his crazy family. A family movie about the stereotypes of homosexuals and Italians ??called by critics """"""""the gay"""""""" My Big Fat Greek Wedding.""""""",Things change. Family doesn't.,2003-06-06,/szNHpPmrQkynnpZJtFjkemfEjDk.jpg,6980,35,CA,92
339,0,8.29189,Night on Earth,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,Five Taxis. Five Cities. One Night.,1991-10-03,/aREHjLD3kwQFcL1ncNOx8ggDGxA.jpg,4429,35,DE,129
343,0,10.8781,Harold and Maude,The young Harold lives in his own world of suicide-attempts and funeral visits to avoid the misery of his current family and home environment. Harold meets an 80-year-old woman named Maude who also lives in her own world yet one in which she is having the time of her life. When the two opposites meet they realize that their differences don??t matter and they become best friends and love each other.,They were meant to be. But exactly what they were meant to be is not quite clear.,1971-12-20,/xqay68babjK46U9WBFD2TmtnGcx.jpg,4964,35,US,91
350,0,13.1024,The Devil Wears Prada,The Devil Wears Prada is about a young journalist who moves to New York to work in the fashion industry. Her boss however is extremely demanding and cruel and won??t let her succeed if she doesn??t fit into the high class elegant look of their magazine when all she really wants to be a good journalist.,Meet Andy Sachs. A million girls would kill to have her job. She's not one of them.,2006-06-30,/8unCRm0LeiO0fM6skWAZy3ZfXR1.jpg,5065,35,US,109
378,0,14.0114,Raising Arizona,The Coen Brothers tell the story of a absurd yet likable family with an unproductive couple as the focal point. The couple has gotten themselves into some trouble while kidnapping a baby and give Hollywood one of the most memorable chase scenes to date.,Their lawless years are behind them. Their child-rearing years lay ahead...,1987-03-01,/jsBg2bhvbSncyezo9sMntMzBuy6.jpg,1223,35,US,94
380,0,11.2675,Rain Man,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,A journey through understanding and fellowship.,1988-12-11,/A9XB6BmDlxqag4EFG4aM8R08B5t.jpg,8246,18,US,133
381,0,5.49051,To Catch a Thief,A delightful Hitchcock film about an ex-burglar who must catch a thief who??s been copying this style before he gets accused of the wrong crimes. His time is running out as the police are close behind him yet he finds time for a little romance of course. A classic masterpiece starring Grace Kelly and Cary Grant.,WANTED by the police in all the luxury-spots of Europe!... A catch for any woman!,1955-08-03,/wizxvCHhWTpJXxRew6FGPGFWTVl.jpg,2636,80,US,106
396,0,5.56429,Who's Afraid of Virginia Woolf?,Mike Nichols??film from Edward Albee's play brought new themes to the film industry. Elizabeth Taylor and Richard Burton have never been more brilliant together as they portray an experienced married couple who love each other yet verbally attack one another when they see how boring their naïve newlywed guests have made their night.,You are cordially invited to George and Martha's for an evening of fun and games,1966-06-21,/meHvC3nTKd2jE4oSytADtGjR09l.jpg,5342,18,US,131
397,0,9.14654,French Kiss,French Kiss is director Kasdan??s best film since the Bodyguard. The plot involves a couple in love and one woman??s attempt to fly to Paris to get her lover back from a business trip and marry him. On the way she unknowingly smuggles something of value that has a petty thief chasing her across France as she chases after her future husband.,,1995-05-05,/bZqvonwVru1XtnniQZgZRa3Znyk.jpg,8844,35,GB,111
400,0,4.48618,Things to Do in Denver When You're Dead,"""A mafia film in Tarantino style with a star-studded cast. Jimmy??s ??The Saint??gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as ??The Man with the Plan.??","Protect. Love. Honor. Avenge.""""""",1995-12-01,/ysKIolKO0376Nl5DV1fDAAPudEq.jpg,5501,18,US,116
423,0,14.8116,The Pianist,The Pianist is a film adapted from the biography of Wladyslaw Szpilman. A Jewish-Polish pianist who during the second world war lived and hid miraculously in Warsaw after having gone through a terrible tragedy. A film from Roman Polanski.,Music was his passion. Survival was his masterpiece.,2002-09-24,/iunmxWkOi7Vk17Ob3G2HwwjgHsr.jpg,3556,18,FR,150
431,0,12.0953,Cube,Seven strangers are taken out of their daily lives and placed mysteriously in a deadly cube where they all agree they must find their way out.,Don't look for a reason... Look for a way out.,1997-09-09,/u50r6chJGO2iqxVAvtQ07obiCkB.jpg,5877,53,CA,90
437,0,15.3175,Cube 2: Hypercube,The sequel to the low budget first film ??Cube.??This time the prisoners find them selves in a more advanced cube environment that they must escape from before they are killed. A science fiction film where space and time have more than one path.,There is more to fear than you can see.,2002-04-15,/6tPa2kvzsvOQTXK1JNO2JN9quBV.jpg,0,53,CA,94
438,0,8.75849,Cube Zero,Cube Zero is the third film in the trilogy yet this time instead of a film about people trapped in a deadly cube trying to get out we see it from the eyes of someone who is controlling the cube and the torture of the victims inside. When the nerd can??t stand to see a woman suffer he himself enters the cube to try and save her.,Every nightmare has a beginning.,2004-10-15,/m6Vn1rysx6vmgJuy78Ih9QxFoOy.jpg,5917,9648,CA,97
471,0,0.707491,Bandyta,Bastard depicts the distress of needy children and the love of a nurse and a hard boiled criminal. A film from Polish director Maciej Dejczer and actor Til Schweiger??s first international film.,,1997-01-01,/73d8HxtublBXQDhHuhtQ8ysOYUe.jpg,0,18,DE,102
475,0,12.1092,Bonnie and Clyde,Bonnie and Clyde is based on the true stories of the gangster pair Bonnie Parker and Clyde Barrow who in the 1930s began robbing banks in U.S. cities until they were eventually killed. The film is a major landmark in the aesthetic movement known as the New Hollywood.,They??re young??they??re in love??and they kill people.,1967-07-18,/3tX1FJiXnk515NtRuF18PFC4CVy.jpg,6448,80,US,111
482,0,3.73688,Shaft,Cool black private eye John Shaft is hired by a crime lord to find and retrieve his kidnapped daughter.,The mob wanted Harlem back. They got shaft...up to here.,1971-07-02,/ez5aGeyOvG2F1QzKYHzkMmkDuM2.jpg,6558,12,US,100
483,0,8.52862,Wild at Heart,Young lovers Sailor and Lula run from the variety of weirdos that Lula's mom has hired to kill Sailor.,A wild crazy love story.,1990-05-01,/d4fbQjSSBd4FPyAROln1skafChr.jpg,5602,35,US,124
493,0,0.760855,Shaft's Big Score!,John Shaft is back as the lady-loved black detective cop on the search for the murderer of a client.,Last time he was nice. This time he's ice!,1972-06-08,/jioGhMgP8d7eu1G7YT7xeyLOJuc.jpg,6558,28,US,104
501,0,8.53534,Grizzly Man,"""""""Werner Herzog's documentary film about the """"""""Grizzly Man"""""""" Timothy Treadwell and what the thirteen summers in a National Park in Alaska were like in one man's attempt to protect the grizzly bears. The film is full of unique images and a look into the spirit of a man who sacrificed himself for nature.""""""",One man spent the last 13 years of his life crossing them.,2005-08-12,/qNs0HRSEvSKmtcMiVa2O1yWUKCk.jpg,6818,99,US,103
502,0,4.22597,Fail-Safe,Because of a technical defect an American bomber team mistakenly orders the destruction of Moscow. The President of the United States has but little time to prevent an atomic catastrophe from occurring. Director Sidney Lumet gives an atmospheric vision of the future with a Cold War backdrop.,It will have you sitting on the brink of eternity!,1964-10-07,/gp2b35iSQ03kKZgPpeeOuSb0Ra2.jpg,39996,18,US,112
504,0,7.18902,Monster,Aileen Wuornos is an emotionally scarred highway hooker who shoots a sadistic trick who rapes her and ultimately becomes America's first female serial killer.,The first female serial killer of America,2003-11-16,/uIVrPwor7fgSm5MRMj8IWs76gpk.jpg,6884,80,US,110
506,0,6.40909,Marnie,Marnie is a beautiful kleptomaniac who is in love with businessman Mark Rutland. Marnie who is a compulsive thief is being watched by her new boss Mark who suspects her of stealing from him and thus decides to blackmail her in the most unusual way. A psychological thriller from Alfred Hitchcock based on a novel of the same name by Winston Graham.,Thief... Liar... Cheat... she was all of these and he knew it!,1964-07-09,/hBYHdsSxOA2zQLiuiJyPsk9IhUw.jpg,2636,80,US,130
508,0,10.5868,Love Actually,Follows seemingly unrelated people as their lives begin to intertwine while they fall in ??and out ??of love. Affections languish and develop as Christmas draws near.,The ultimate romantic comedy.,2003-09-07,/kfX8Ctin3fSZbdnjh6CXSNZUOVP.jpg,7018,35,GB,135
509,0,9.87404,Notting Hill,The British comedy from director Roger Michell tells the love story between a famous actress and a simple book seller from London. A look into the attempt for famous people to have a personal and private life and the ramifications that follow. Nominated for three Golden Globes in 2000.,Can the most famous film star in the world fall for the man on the street?,1999-05-13,/f1gMw3PVicfdq9thlvUIjJ5UdvS.jpg,7017,10749,GB,124
524,0,10.1374,Casino,The life of the gambling paradise ??Las Vegas ??and its dark mafia underbelly.,No one stays at the top forever.,1995-11-22,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,1032,18,FR,178
535,0,9.88896,Flashdance,The popular 1980??s dance movie that depicts the life of an exotic dancer with a side job as a welder who true desire is to get into ballet school. It??s her dream to be a professional dancer and now is her chance. The film has a great soundtrack with an Oscar winning song.,When the dancer becomes the dance.,1983-04-14,/pW8tRnHJbZfobnEX16CjkOg8bAH.jpg,7270,18,US,95
540,0,5.16149,D.E.B.S.,The star of a team of teenage crime fighters falls for the alluring villainess she must bring to justice.,Evil is so totally busted!,2004-01-21,/4VXECCSovzeF3TxpPnKs8L193FS.jpg,7312,28,US,91
541,0,3.35307,The Man with the Golden Arm,Frankie is a heroin addict and sits in prison. He wants a different life but the rehabilitation isn??t as easy as he had thought. Director Otto Preminger films one of the first social studies of an addict in this 1955 film.,,1955-12-14,/9zGvnIlHCL8CuZxqHMLGHmxA4DY.jpg,834,80,US,119
546,0,7.3982,Transamerica,Bree is about to get a sex change operation that will finally allow her to actually be what she??s already been in her mind for a long time: a transitioned woman. Yet before this happens she suddenly runs into her son who ends up coming for the trip across the United States.,Life is a Journey. Bring an Open Mind.,2005-12-23,/ehYc5DRe1Ipnn5XSf3Tol3LMbrq.jpg,0,18,US,103
551,0,10.3418,The Poseidon Adventure,The Poseidon Adventure was one of the first Catastrophe films and began the Disaster Film genre. Director Neame tells the story of a group of people that must fight for their lives aboard a sinking ship. Based on the novel by Paul Gallico.,Who will survive-in one of the greatest escape adventures ever!,1972-12-01,/3Ypk0OLrECSp7tqQFLMppGBrHfo.jpg,7501,28,US,117
560,0,2.84226,Secret Beyond the Door,Fritz Lang??s psycho thriller tells the story of a woman who marries a stranger with a deadly hobby and through their love he attempts to fight off his obsessive-compulsive actions.,,1948-01-01,/f2CqQR8DF2I3DvmJFp5lRzRKD30.jpg,68,80,US,99
579,0,11.2131,Jaws 2,Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.,Just when you thought it was safe to go back in the water...,1978-06-16,/zzGtimy1mUJYDjFjCmn2dpHREGV.jpg,16187,27,US,116
584,0,2.32462,2 Fast 2 Furious,"""""""It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of """"""""dirty"""""""" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.""""""",How Fast Do You Want It?,2003-06-05,/hZVcmztCVo510FhBXyLqStiTAce.jpg,6482,28,US,107
599,0,11.7098,Sunset Boulevard,A hack screenwriter writes a screenplay for a former silent-film star who has faded into Hollywood obscurity.,A Hollywood Story,1950-08-10,/oFwzvRgfxJc0FUr2mwYTi10dk3G.jpg,3146,18,US,110
605,0,15.3682,The Matrix Revolutions,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,Everything that has a beginning has an end.,2003-11-05,/sKogjhfs5q3azmpW7DFKKAeLEG8.jpg,9339,12,US,129
624,0,8.63584,Easy Rider,A cross-country trip to sell drugs puts two hippie bikers on a collision course with small-town prejudices.,A man went looking for America and couldn??t find it anywhere...,1969-05-07,/e3jHM20jbKZbXYjRwmfQOJ0VnzP.jpg,2778,12,US,95
636,0,8.15209,THX 1138,People in the future live in a totalitarian society. A technician named THX 1138 lives a mundane life between work and taking a controlled consumption of drugs that the government uses to make puppets out of people. As THX is without drugs for the first time he has feelings for a woman and they start a secret relationship.,Visit the future where love is the ultimate crime.,1971-03-11,/8cie5mojY6MlIrYMs9EtNSyterv.jpg,1,18,US,86
641,0,6.87483,Requiem for a Dream,The hopes and dreams of four ambitious people are shattered when their drug addictions begin spiraling out of control. A look into addiction and how it overcomes the mind and body.,,2000-10-27,/muym4jTjdLx7E6as09d1wlC3sOB.jpg,6431,80,US,102
650,0,6.86651,Boyz n the Hood,Boyz n the Hood is the popular and successful film and social criticism from John Singleton about the conditions in South Central Los Angeles where teenagers are involved in gun fights and drug dealing on a daily basis.,Once upon a time in South Central L.A... It ain't no fairy tale.,1991-07-12,/9qQdpidN33pTEaxAP5gaTmCPGFq.jpg,6482,80,US,112
660,0,10.5178,Thunderball,A criminal organization has obtained two nuclear bombs and are asking for a 100 million pound ransom in the form of diamonds in seven days or they will use the weapons. The secret service sends James Bond to the Bahamas to once again save the world.,Look up!  Look down!  Look out!,1965-12-16,/sASN1VnJxWosdzp4mH40P47Xhhz.jpg,9855,12,BS,130
667,0,10.3597,You Only Live Twice,A mysterious space craft kidnaps a Russian and American space capsule and brings the world on the verge of another World War. James Bond investigates the case in Japan and meets with his archenemy Blofeld. The fifth film from the legendary James Bond series starring Sean Connery as the British super agent.,You Only Live Twice...and Twice is the only way to live!,1967-06-12,/7dnsJZniZK1Hbc9mOFDYa5W0dHi.jpg,10076,28,GB,117
681,0,12.0049,Diamonds Are Forever,Diamonds are stolen only to be sold again in the international market. James Bond infiltrates a smuggling mission to find out who??s guilty. The mission takes him to Las Vegas where Bond meets his archenemy Blofeld.,The man who made 007 a household number,1971-12-13,/viPjZ3JCOahcfNCcVhiPExusJoZ.jpg,9915,12,GB,120
682,0,12.1275,The Man with the Golden Gun,A golden bullet has 007 engraved on it as it smashes into the secret service headquarters. The bullet came from the professional killer Scaramanga who has yet to miss a target and James Bond begins a mission to try and stop him.,The man with the golden gun is ready to assassinate James Bond.,1974-12-01,/7VSVgxAvA7IdTf8T6Oon1eaReeJ.jpg,9915,12,GB,125
687,0,6.89132,Dead Man Walking,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,,1995-12-29,/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,504,18,US,122
688,0,5.95108,The Bridges of Madison County,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...,1995-05-28,/czRuGEx9Yhnh6nApirTLPToxHNu.jpg,190,18,US,135
691,0,9.78145,The Spy Who Loved Me,Russian and British submarines with nuclear missiles on board both vanish from sight without a trace. England and Russia both blame each other as James Bond tries to solve the riddle of the disappearing ships. But the KGB also has an agent on the case.,It's the BIGGEST. It's the BEST. It's BOND. And B-E-Y-O-N-D.,1977-07-07,/vYMgDqQDpqHDhz3enGkwBmTs7p7.jpg,10076,12,GB,125
696,0,12.0508,Manhattan,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,Woody Allen's New Comedy Hit,1979-04-25,/k4eT3EvfxW1L9Wmt04UqJqCvCR6.jpg,1243,35,US,96
698,0,10.5763,Moonraker,During the transportation of a Space Shuttle a Boeing 747 crashes in the Atlantic Ocean yet when they go to look for the destroyed shuttle it is not there. James Bond investigates the missing mission space shuttle and soon learns that the shuttles owner Hugo Drax wants to kill all of mankind.,Outer space now belongs to 007.,1979-06-26,/pz2r25q3NzNTDGygTYesq5mvwbz.jpg,10076,28,FR,126
700,0,10.6193,Octopussy,James Bond is sent to investigate after a fellow ??0??agent is found dead with a priceless Farberge egg. James bond follows the mystery and uncovers a smuggling scandal and a Russian General who wants to provoke a new World War.,James Bond??s all time high.,1983-06-05,/s1GeJcwTclopbed1Bo2hjunSika.jpg,10179,12,GB,131
707,0,12.8408,A View to a Kill,A newly developed microchip designed by Zorin Industries for the British Government that can survive the electromagnetic radiation caused by a nuclear explosion has landed in the hands of the KGB. James Bond must find out how and why. His suspicions soon lead him to big industry leader Max Zorin.,Has James Bond finally met his match?,1985-05-24,/veDMW7eX6tat86EapsvGEICJ8Tq.jpg,10179,12,FR,131
708,0,12.189,The Living Daylights,James Bond helps a Russian General escape into the west. He soon finds out that the KGB wants to kill him for helping the General. A little while later the General is kidnapped from the Secret Service leading 007 to be suspicious.,Licensed to thrill.,1987-06-29,/yEryMe58dx7zm1QBhQFeuYcv2aH.jpg,10179,28,GB,130
709,0,11.1379,Licence to Kill,James Bond and his American colleague Felix Leiter arrest the drug lord Sanchez who succeeds in escaping and takes revenge on Felix and his wife. Bond knows but just one thing: revenge.,His bad side is a dangerous place to be.,1989-07-07,/27EySoBH3oBuI6xat2QOquB9X8j.jpg,10179,12,GB,133
710,0,14.686,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,No limits. No fears. No substitutes.,1995-11-16,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,10702,12,GB,130
712,0,8.99035,Four Weddings and a Funeral,Four Weddings And A Funeral is a British comedy about a British Man named Charles and an American Woman named Carrie who go through numerous weddings before they determine if they are right for one another.,Five good reasons to stay single.,1994-03-09,/md9kMKnLG8LG4pMDM98gy5x4K5L.jpg,10723,35,GB,117
714,0,17.1596,Tomorrow Never Dies,A deranged media mogul is staging international incidents to pit the world's superpowers against each other. Now 007 must take on this evil mastermind in an adrenaline-charged battle to end his reign of terror and prevent global pandemonium.,Yesterday is a memory. Today is history. Tomorrow is in the hands of one man.,1997-12-11,/k3eI9q7ISgpDEu2CMwR2s6inJVp.jpg,1724,12,GB,119
750,0,7.26185,Murder She Said,Miss Marple believes she??s seen a murder in a passing by train yet when the police find no evidence she decides to investigate it on her own. Her inquisitions lead her to a mountain top. The first of four films starring Margaret Rutherford as Miss Marple that all achieved cult status.,Who is the blonde in the box?,1961-01-01,/iniMlncVkZzQTZ3kLU6eEtoZz0V.jpg,0,18,GB,87
751,0,7.28258,Murder at the Gallop,Miss Marple and Mr Stringer are witness to the death of the very old and rich Mr. Enderby by heart attack. Yet they have their doubts about what happened. The police don??t believe them thus leading Miss Marple to yet again investigate by herself. A cult film starring Margaret Rutherford.,It's a Penny to a Pony... Murder Will Out!,1963-01-01,/1SMoWzqgdARO6GsepFC3T5jdc9a.jpg,0,18,GB,81
