actorId,movieId,characterName,characterOrder
40 ,4930 ,Leschenhaut,2 
40 ,13415 ,Narrator / Nag / Chuchundra (voice),0 
40 ,27883 ,Macbeth,0 
40 ,37222 ,Max Buda,7 
40 ,43003 ,Himself,0 
40 ,45817 ,Bresnavitch,8 
40 ,75641 ,José Estedes,7 
40 ,94623 ,Narrator (voice),0 
48 ,17 ,James,0 
48 ,710 ,Alec Trevelyan,1 
48 ,8471 ,Loki,2 
48 ,9911 ,Danny Bryant,0 
48 ,257344 ,Corporal Hill (SAS Officer),6 
49 ,17 ,Adèle,1 
49 ,59 ,Edie Stall,1 
49 ,13250 ,Abby Randall,1 
49 ,18711 ,Nora Allardyce,3 
49 ,59965 ,Mara Harper,4 
49 ,72912 ,Lorraine Burton,0 
49 ,234212 ,Dr. Elizabeth Klein,1 
49 ,413471 ,Brenda Newmans,5 
50 ,29047 ,Herself,4 
51 ,17 ,Rowan,2 
52 ,31306 ,Dove Bullis,1 
52 ,31676 ,Albert,6 
52 ,257444 ,John,0 
53 ,318 ,Dixie,4 
53 ,8838 ,Shayes,9 
53 ,9828 ,Snakeskin Boots,6 
53 ,11012 ,Peter Wetzler,4 
53 ,12100 ,Sergeant Eric Hjelmstad,2 
53 ,14643 ,Norman Hail,2 
53 ,15365 ,Arthur Grimsley,4 
53 ,53172 ,Darek,7 
53 ,80389 ,Frank,1 
53 ,172828 ,Highsmith,2 
53 ,289191 ,The Russian,4 
53 ,345925 ,Terrence,1 
54 ,17 ,Dafydd,3 
62 ,189 ,Hartigan,5 
62 ,8838 ,Art Jeffries,0 
62 ,9644 ,Man Whose Caravan Is Attacked (uncredited),13 
62 ,12220 ,Ben Jordan,0 
62 ,12479 ,Dwayne Hoover,0 
62 ,84305 ,Dink Heimowitz,1 
62 ,139567 ,Mike Cella,0 
62 ,146216 ,Frank Moses,0 
62 ,241254 ,Omar,0 
62 ,359412 ,Hubert,1 
63 ,318 ,Eloise,1 
63 ,240745 ,Queen,2 
63 ,329833 ,Katinka,7 
64 ,820 ,Lee Harvey Oswald,2 
64 ,2088 ,Jack Grimaldi,0 
64 ,13788 ,Rabbi Sendak,1 
64 ,296523 ,Captain Peyton,2 
64 ,365942 ,Nathaniel Shepherd,4 
65 ,768 ,Sir William Gull,2 
65 ,815 ,Squealer (voice),1 
65 ,1946 ,Kiri Vinokur,2 
65 ,29805 ,Nicholas Porter,5 
65 ,41160 ,Big Tam,5 
65 ,46027 ,Liam Casey,1 
65 ,61578 ,Nathan Quellen,1 
66 ,293767 ,Albert,2 
66 ,348035 ,Himself,1 
85 ,162 ,Edward Scissorhands,0 
85 ,768 ,Inspector Frederick Abberline,0 
85 ,866 ,Sir James Matthew Barrie,0 
85 ,1428 ,Sands,2 
85 ,2668 ,Ichabod Crane,0 
85 ,4104 ,Sam,0 
85 ,8054 ,Imaginarium Tony 1,2 
85 ,29572 ,Cesar,1 
85 ,62213 ,Barnabas Collins,0 
98 ,20 ,Ann,0 
98 ,148 ,Hanna,0 
98 ,14506 ,Sally Salt,2 
98 ,60994 ,Harper Sloane,0 
99 ,20 ,Laurie,1 
99 ,318 ,Vivien,3 
100 ,20 ,Don,2 
100 ,14251 ,Dexter,0 
100 ,18165 ,Tom,1 
101 ,20 ,Neighbor Ann,3 
101 ,1896 ,Cuca,3 
101 ,252529 ,Mrs. Williams,9 
102 ,20701 ,Betty (wraparound story),0 
103 ,1538 ,Detective Fanning,3 
103 ,2100 ,Yates,2 
103 ,12100 ,Pappas,4 
103 ,75656 ,Dylan Rhodes,1 
103 ,87492 ,David Schultz,2 
103 ,112200 ,Adam,0 
103 ,413279 ,Bruce Banner / The Hulk,2 
109 ,19855 ,Stu Simmons,0 
109 ,20682 ,Mikey,2 
109 ,41556 ,Chip,6 
109 ,83191 ,Ben Gunn,3 
109 ,301608 ,David Waters,2 
109 ,409696 ,Wirt,1 
110 ,59 ,Tom Stall,0 
110 ,2252 ,Nikolai Luzhin,1 
110 ,8744 ,Guy Foucard,4 
110 ,11228 ,Roy Nord,2 
110 ,12690 ,Everett Hitch,0 
110 ,24909 ,Carl Frazer,4 
110 ,28029 ,Walker Jerome,1 
110 ,37062 ,Clay,2 
110 ,69035 ,Johnny Faro,2 
110 ,334533 ,Ben Cash,0 
112 ,6440 ,Petal,2 
112 ,29572 ,Lola,6 
112 ,173205 ,Narrator - Haiti (voice),0 
112 ,300693 ,Mary Mapes,2 
113 ,682 ,Francisco Scaramanga,1 
113 ,2668 ,Burgomaster,8 
113 ,3079 ,The Creature,3 
113 ,12180 ,Count Dooku (voice),5 
113 ,16299 ,Evil Sender,6 
113 ,29794 ,Stefan Crosscoe,0 
113 ,31283 ,Bailey,5 
113 ,32613 ,Prof. Sir Alexander Saxton,0 
113 ,42566 ,Morgan Canfield,1 
113 ,42717 ,Gregor,0 
113 ,43092 ,Kenny King,2 
113 ,58733 ,Captain LaRoche,0 
113 ,79106 ,Sherlock Holmes,0 
113 ,108432 ,Sherlock Holmes,0 
113 ,109636 ,Marcus Valorium,2 
113 ,329020 ,Narrator / Roderick Usher / Frederick (voice),0 
116 ,508 ,Juliet,0 
116 ,48838 ,Charlotte,1 
116 ,71134 ,Young Celia,4 
118 ,11775 ,Donovan Donaly,3 
118 ,205584 ,Ra,6 
131 ,142 ,Jack Twist,1 
131 ,1406 ,Danny Robbins,14 
131 ,9962 ,Holden Worther,1 
131 ,50035 ,Jordan,3 
131 ,77016 ,Brian Taylor,0 
131 ,181886 ,Adam Bell / Anthony Claire,0 
131 ,303991 ,Davis Mitchell,1 
133 ,9913 ,Luke Marshall,2 
133 ,13369 ,Jack,1 
133 ,13574 ,Newt,5 
133 ,157823 ,Harmon,3 
133 ,245698 ,Father Bill Lombardy,2 
134 ,1538 ,Max,1 
134 ,4349 ,Ronald Fleury,0 
134 ,22803 ,Nick Rice,0 
138 ,36606 ,Himself,4 
138 ,44345 ,Himself,1 
139 ,859 ,Cécile de Volanges,6 
139 ,4823 ,Diana Baylor,2 
139 ,8866 ,Noelle,0 
139 ,13401 ,Dr. Emma Lloyd,1 
139 ,77875 ,Patti,2 
139 ,384205 ,Miss Anderson,1 
140 ,1872 ,Sadie Blake,0 
140 ,13179 ,Silvermist (voice),3 
140 ,14711 ,Sio,1 
140 ,93676 ,Rowena Adler,3 
141 ,7237 ,Dark One,2 
141 ,13161 ,The Master,1 
141 ,13300 ,The Deuce,5 
141 ,16159 ,Jozek Mardulak / Count Dracula,0 
141 ,22419 ,Cowboy Bob,2 
141 ,25913 ,Nava the Wolf Shaman (voice),3 
141 ,31390 ,Driscoll,0 
141 ,61233 ,Clive Jonis,0 
141 ,110548 ,Lieutenant,1 
147 ,9073 ,Glen Greenwood,1 
147 ,13300 ,The Gent,1 
147 ,14735 ,Miles Rennberg,1 
147 ,19342 ,Seal,1 
147 ,115084 ,Prof. Lovegrove,0 
150 ,4816 ,Samurai,13 
169 ,17771 ,Baron Margitta,5 
169 ,246860 ,Henryk Wald,6 
190 ,66 ,Luther Whitney,0 
190 ,688 ,Robert Kincaid,1 
190 ,8879 ,Preacher,0 
190 ,11589 ,Sergeant First Class Kelly,0 
190 ,17689 ,Ben Shockley,0 
190 ,20006 ,Tommy Nowak,0 
190 ,26170 ,Coogan,0 
190 ,37917 ,Red Stovall,0 
190 ,94623 ,Himself (uncredited),7 
190 ,101520 ,Himself,1 
190 ,112672 ,Keith Williams,2 
190 ,130134 ,George Moseley,5 
192 ,2698 ,God,5 
192 ,12123 ,Paul Shannon,1 
192 ,14979 ,Keith Ripley,0 
192 ,31601 ,Lewis,12 
192 ,60631 ,Fast Black,3 
192 ,61896 ,Himself,0 
192 ,62837 ,Dr. McCarthy,0 
192 ,75656 ,Thaddeus Bradley,7 
192 ,137093 ,Archie,1 
192 ,227735 ,Dr. Cameron McCarthy,0 
192 ,286521 ,Alex Carver,0 
193 ,66 ,President Allen Richmond,1 
193 ,475 ,Buck Barrow,4 
193 ,551 ,Reverand Scott,0 
193 ,1051 ,Jimmy Doyle,0 
193 ,5902 ,Maj. Gen. Stanislaw F. Sosabowski,6 
193 ,9967 ,Col. Cal Rhodes,0 
193 ,11000 ,Sen. Kevin Keeley,1 
193 ,11329 ,Rankin Fitch,1 
193 ,26269 ,Jack Ames,2 
193 ,32074 ,Sam Boyd,0 
193 ,37943 ,Jack McCann,0 
193 ,55044 ,Officer Leo Holland,1 
193 ,64079 ,Joe Browdy,2 
193 ,84511 ,Tommy Del Gaddo,8 
194 ,14676 ,John Morgan,0 
194 ,18978 ,King Arthur,0 
194 ,29805 ,Lt. Cmdr. Anthony Fallon,0 
194 ,32037 ,Dr. Jonathan Chamberlain,1 
194 ,34469 ,Lucius Cornelius Sulla,1 
194 ,64923 ,Gulliver,0 
194 ,133328 ,Sheriff Sean Kilpatrick,0 
198 ,13355 ,Mr. Mysterio / Woodenleg Wally (voice),0 
198 ,23816 ,De Mille,10 
199 ,9339 ,Trudy Newman,5 
199 ,11430 ,Mom (voice),2 
200 ,258236 ,(uncredited),10 
204 ,866 ,Sylvia Llewelyn Davies,1 
204 ,1717 ,Anne Stanton,2 
204 ,4148 ,April Wheeler,1 
204 ,11615 ,Bitsey Bloom,1 
204 ,76600 ,Ronal,0 
204 ,146198 ,Irina Vlaslov,3 
205 ,35080 ,Marion Davies,0 
205 ,84174 ,Regan Crawford,0 
205 ,245703 ,Sarah Tomlin,3 
206 ,10201 ,Carl Allen,0 
206 ,20006 ,Lounge Entertainer,3 
206 ,266782 ,,13 
207 ,4566 ,Arthur Edens,1 
207 ,14050 ,James Baker,7 
207 ,16558 ,Howard Tully,3 
207 ,20682 ,Bollingsworth,4 
207 ,28118 ,Fox (voice),5 
207 ,48791 ,Hardvendel,8 
207 ,58760 ,Goebbels (voice),4 
207 ,119324 ,Peter Rawlins,5 
207 ,256962 ,Fr. Oliver,11 
207 ,302401 ,Ewen MacAskill,4 
207 ,330483 ,Dr. Shep,5 
209 ,4413 ,Nicole,9 
212 ,14923 ,Ronnie Dobbs / Pootie T / Chow Chow,0 
212 ,20682 ,Andy,3 
212 ,32263 ,Himself,0 
212 ,100416 ,Ken Castro,1 
212 ,114779 ,Glenn Randolph,1 
216 ,14043 ,Corky Veinshtein,1 
224 ,20481 ,Dr. Philip K. Decker,2 
224 ,188044 ,Narrator,0 
225 ,59 ,Jack Stall,3 
225 ,13689 ,Tommy,4 
225 ,189197 ,PFC Sidney Phillips,3 
226 ,59 ,Sarah Stall,2 
227 ,59 ,Richie Cusack,4 
227 ,2928 ,Frank Quinlan,2 
227 ,3057 ,Prof. Waldmann,3 
227 ,3432 ,Marshall,3 
227 ,11403 ,H2O,0 
227 ,15661 ,Mayor Schneer,2 
227 ,17771 ,Andor Knorr,1 
227 ,18208 ,Simon Messerman,0 
227 ,31911 ,Tom,3 
227 ,53113 ,George Gulden,2 
227 ,74692 ,Dave,0 
227 ,103413 ,Graham Holt,0 
227 ,157829 ,Julian Rigby,8 
227 ,177203 ,Richard Feynman,0 
228 ,59 ,Carl Fogerty,5 
228 ,66 ,Seth Frank,2 
228 ,853 ,Major König,2 
228 ,12690 ,Virgil Cole,1 
228 ,22167 ,Billy,0 
228 ,28448 ,William Walker,0 
228 ,47493 ,Stefan,1 
228 ,51995 ,Dr. Paul Blaylock,3 
228 ,52323 ,,0 
228 ,102639 ,Sheriff Dick Tipton,3 
228 ,134806 ,Jim Lassiter,0 
228 ,177335 ,Shang,1 
228 ,214086 ,Tom,1 
228 ,240745 ,Cymbeline,0 
229 ,59 ,Sheriff Sam Carney,6 
229 ,22066 ,Philip Manville,3 
230 ,59 ,Leland,7 
230 ,9954 ,James Danvers,9 
230 ,100275 ,Ronny,4 
230 ,166271 ,The Pale Man,1 
230 ,327528 ,Dad,3 
231 ,59 ,Billy,8 
231 ,14251 ,Abel,4 
232 ,59 ,Bobby,9 
232 ,9954 ,Aaron Abbot,7 
232 ,42309 ,Tyler,3 
233 ,59 ,Judy Danvers,10 
245 ,13401 ,Mr. Bollenbecker,15 
245 ,74896 ,Paul Renfield,2 
245 ,102444 ,Lewis,1 
246 ,32825 ,,6 
247 ,124210 ,TV Interviewer,8 
249 ,69065 ,Fillmore,4 
258 ,73935 ,Diego Bardem,10 
258 ,82321 ,Alex,1 
261 ,31068 ,Laura,1 
270 ,13107 ,Esperanza,4 
280 ,86828 ,Nasty Alien (voice),16 
287 ,819 ,Michael Sullivan,1 
287 ,26642 ,Rick,0 
287 ,45145 ,Johnny Suede,0 
287 ,109091 ,Westray,5 
287 ,318846 ,Ben Rickert,3 
288 ,189197 ,Sgt. John Basilone,2 
289 ,32330 ,Veronica Briskow,1 
290 ,4375 ,Freddie Chapman,0 
290 ,8054 ,Doctor Parnassus,0 
290 ,10023 ,Reverend Jonathan Whirley,2 
290 ,10395 ,Raymond Alden,1 
290 ,11843 ,Sir Charles Litton,1 
290 ,14105 ,Dr. Heller,4 
290 ,15121 ,Captain Von Trapp,1 
290 ,15148 ,Flash Madden,0 
290 ,18884 ,Sir David Maxwell Fyfe,2 
290 ,21294 ,Professor Lakos,1 
290 ,30973 ,Narrator (voice),0 
290 ,49683 ,Raymond Swan,1 
290 ,233423 ,Croolik (voice),1 
290 ,256924 ,Frank Grubman,4 
291 ,2661 ,The Riddler,5 
326 ,4823 ,Heather Evans,1 
326 ,9759 ,Jessica Martin,1 
326 ,11458 ,Victoria Gray,1 
326 ,15749 ,Della,0 
326 ,19126 ,Carolyn Carver,1 
326 ,274820 ,Claire Jacobs,4 
326 ,289191 ,Maria,1 
326 ,290250 ,Judith Kuttner,7 
327 ,62046 ,Darrien,3 
328 ,13551 ,Krista,0 
328 ,14963 ,Sue,3 
333 ,26486 ,Troy Haines,14 
333 ,44998 ,Joe Davis,5 
335 ,1950 ,Ray Zumbro,7 
335 ,4148 ,John Givings,2 
335 ,9692 ,Rosen,5 
335 ,14195 ,Petie,9 
335 ,25636 ,Dundun,7 
335 ,103731 ,Galen,6 
335 ,245703 ,Roy Tomlin,0 
335 ,306745 ,Dane Wells,4 
343 ,10994 ,Niki,7 
343 ,14251 ,Matilda,1 
343 ,39845 ,Mallory,11 
349 ,66 ,Bill Burton,3 
349 ,6440 ,Jack Buggit,5 
349 ,10684 ,Gartner,12 
349 ,17496 ,Wes,2 
349 ,22419 ,Sheriff Foster,3 
349 ,34995 ,Clayton Price,0 
349 ,46971 ,John Haddad,0 
349 ,82390 ,W.W. Jansen,6 
349 ,244316 ,Sully,3 
350 ,66 ,Kate Whitney,4 
350 ,508 ,Sarah,3 
350 ,2637 ,Connie Mills,1 
350 ,8272 ,Wendy Savage,0 
350 ,11615 ,Constance Hallaway,2 
351 ,66 ,Gloria Russell,5 
351 ,290 ,Audrey Taylor,2 
351 ,16659 ,Sybylla Melvyn,0 
351 ,157841 ,G.H. Jibsen,2 
352 ,66 ,Tim Collin,6 
352 ,189 ,Manute,8 
352 ,1874 ,Nelson Mandela,1 
352 ,9771 ,Pedro Cerrano,2 
352 ,12618 ,Detective George Beaufort,4 
352 ,205724 ,Mr. Palmer,9 
352 ,400605 ,General Lyons,5 
368 ,9451 ,Tracy Flick,1 
368 ,10543 ,Nicole Walker,1 
368 ,26269 ,Mel Ames,3 
368 ,29444 ,Wendy Pfister,1 
368 ,59962 ,Lauren,0 
368 ,103731 ,Juniper,4 
368 ,152792 ,Pam Hobbs,0 
368 ,228970 ,Cheryl,0 
368 ,268920 ,Cooper,0 
368 ,335797 ,Rosita (voice),10 
374 ,14506 ,Rupert / Adolphus,4 
378 ,714 ,Elliot Carver,1 
378 ,10202 ,Marty Bronson,10 
378 ,75641 ,Joseph Manasse,6 
378 ,75802 ,Dr. Robert Dalrymple,2 
378 ,299780 ,Nat,0 
380 ,819 ,Father Bobby,0 
380 ,5851 ,Det. Mitch Preston,0 
380 ,5971 ,Ned,0 
380 ,9819 ,Marvin,3 
380 ,11371 ,Nick Wells,0 
380 ,13536 ,Vincent LaMarca,0 
380 ,22423 ,David Merrill,0 
380 ,31582 ,Walt Koontz,0 
380 ,32077 ,Father Des Spellacy,0 
380 ,37774 ,Monroe Stahr,0 
380 ,51876 ,Carl Van Loon,1 
380 ,62838 ,Stan Harris,0 
380 ,137093 ,Paddy,0 
380 ,184341 ,Ray Arcel,0 
380 ,242076 ,Dragna,2 
380 ,274479 ,Rudy,2 
381 ,5854 ,Mrs. Maloney,6 
381 ,126706 ,Emma Borden,1 
382 ,853 ,Nikita Khrushchev,4 
382 ,2071 ,Gus Klein,1 
382 ,2928 ,Vartan Malt,3 
382 ,9911 ,Walter Lewis,5 
382 ,33851 ,Father Michael Da Costa,1 
382 ,50318 ,The Baron,1 
382 ,62383 ,Johnny Scanlan,0 
383 ,11834 ,Dennis Cooper,0 
383 ,86828 ,Kindly Alien (voice),19 
385 ,768 ,Sir Charles Warren,4 
385 ,2977 ,Richter Langlois,8 
386 ,1245 ,William Stevens,5 
386 ,2196 ,Uncle Alfie,9 
386 ,11248 ,SS-Oberstgruppenführer Artur Nebe,2 
386 ,20539 ,Giles Corey,14 
386 ,22447 ,Bob,11 
386 ,42735 ,Harry,2 
387 ,4226 ,Mrs. Peacock,2 
388 ,41009 ,Jim McCrea,2 
388 ,45791 ,Arthur  Morrison,0 
388 ,354285 ,Tony Webster,0 
389 ,66 ,Art Student,7 
389 ,14293 ,Tara,5 
389 ,117179 ,Laura,0 
389 ,176570 ,,1 
400 ,3121 ,Opal,7 
400 ,83788 ,Zelda,1 
400 ,86241 ,Karen Hood,2 
400 ,96793 ,Miriam Loman,1 
400 ,99859 ,Thelma,3 
400 ,252529 ,Mrs. Brennan,7 
404 ,66 ,Christy Sullivan,8 
404 ,6557 ,Maureen,5 
404 ,238615 ,Judy,6 
408 ,31462 ,Deputy Halik,2 
418 ,8975 ,Rome,2 
418 ,9750 ,Sgt. Pete Daytona,8 
418 ,10375 ,,7 
418 ,13956 ,Louie (voice),1 
418 ,58918 ,Ray Bennett,0 
418 ,62040 ,Jake McInroy,1 
418 ,208182 ,Nicholas Tordone,0 
418 ,226857 ,Harry Elliot,2 
418 ,228108 ,Robert,1 
418 ,245916 ,Ronny Quail,4 
418 ,278111 ,Det. Russell Stark,4 
424 ,11403 ,Titus,3 
424 ,75174 ,Pete Hendrick,3 
424 ,176570 ,,0 
426 ,10105 ,Private Shirl Kendrick,0 
427 ,367147 ,Mrs. Bowery,8 
429 ,17618 ,Young Store Clerk,9 
429 ,183662 ,Scott,2 
429 ,293452 ,Ben Phillips Jr.,3 
448 ,320 ,Ellie Burr,2 
448 ,9282 ,Buzzy,3 
448 ,27770 ,Michelle Poter,2 
448 ,62838 ,Claire Morgan,12 
448 ,290542 ,Kate,1 
449 ,13835 ,Andy Hayes,1 
452 ,9819 ,Dr. Charlotte,8 
452 ,21583 ,Trish,4 
452 ,26269 ,Gloria Lamar,8 
452 ,44750 ,Donna,5 
452 ,353069 ,Flo,6 
453 ,91739 ,Conrade,9 
454 ,50348 ,Jesus Martinez,6 
454 ,77016 ,Mike Zavala,1 
454 ,77950 ,Tito (voice),2 
454 ,336313 ,Abigor (voice),7 
477 ,2977 ,Mrs. Austen,2 
477 ,8696 ,Annie Clarke,1 
479 ,331501 ,Levi Mathis,2 
480 ,8557 ,Skipper,2 
480 ,9905 ,Visitor,7 
480 ,14921 ,Callaghan,5 
480 ,15073 ,Herman,4 
488 ,44345 ,Himself,3 
488 ,326591 ,Himself,4 
500 ,380 ,Charlie Babbitt,1 
500 ,1538 ,Vincent,0 
501 ,80318 ,Annie James,2 
501 ,157823 ,Dena Brauer,1 
502 ,66113 ,Mrs. Barber,2 
502 ,125764 ,Ronnie,3 
503 ,353433 ,Jason Brettner,3 
504 ,148 ,Josef,1 
504 ,1073 ,Oliver Lang,1 
504 ,1713 ,Jerry,11 
504 ,2291 ,Jacob Singer,0 
504 ,9989 ,Gary Winston,2 
504 ,10403 ,Griffin Mill,0 
504 ,10658 ,Phil Blumburtt,2 
504 ,11777 ,Ed Walters,0 
504 ,11934 ,Norville Barnes,0 
504 ,13440 ,Carson J. Dyle,2 
504 ,15661 ,David Owen,0 
504 ,112200 ,Mike,2 
504 ,209189 ,Frank Dawson,3 
504 ,321751 ,B,2 
514 ,5955 ,Jerry Black,0 
514 ,6069 ,Daryl Van Horne,0 
514 ,10395 ,Will Randall,0 
514 ,11027 ,Frank Chambers,0 
514 ,22023 ,Charlie Smith,0 
514 ,24452 ,Wilbur Force,2 
514 ,29056 ,Rexford Bedlo,5 
514 ,33642 ,Poet,1 
514 ,37774 ,Brimmer,4 
514 ,39472 ,"""""""Eugene Earl Axline""",0 
514 ,42701 ,Billy Spear,2 
515 ,859 ,Marquise Isabelle de Merteuil,0 
515 ,10806 ,Herself,16 
515 ,10998 ,Alex Forrest,1 
515 ,24186 ,Esther Gold,0 
515 ,41847 ,,1 
515 ,158939 ,Gail Bennett,1 
515 ,244580 ,Gram,2 
515 ,259954 ,Arlene Bloom,5 
515 ,277710 ,Marcia Zarrow,3 
515 ,375366 ,Dr. Caroline Caldwell,2 
516 ,2055 ,Sue Barlow,9 
516 ,22423 ,Ruth Merrill,1 
516 ,214086 ,Nikki,0 
516 ,256924 ,Mary Sinclair,1 
517 ,710 ,James Bond,0 
517 ,714 ,James Bond,0 
517 ,10163 ,Dr. Lawrence Angelo,1 
517 ,13250 ,Tom Ryan,0 
517 ,26725 ,Jean Charles Pommier,0 
517 ,51995 ,Dan Day,2 
517 ,107985 ,Guy Shepherd,6 
517 ,254904 ,Peter H. Devereaux,0 
517 ,353433 ,The Man,2 
518 ,9493 ,Vincent Benedict,1 
518 ,9969 ,Buddy Hall,0 
518 ,14034 ,Max Fairbanks,1 
518 ,14930 ,Frank Menure,0 
518 ,19126 ,Walter,0 
518 ,36691 ,Jimmy,1 
519 ,7096 ,Frik,4 
519 ,409447 ,Wilbur Turnblad,8 
520 ,4564 ,Carrie Bradshaw,0 
520 ,62838 ,Kim,13 
520 ,68179 ,Kira Supernova (Voice),4 
520 ,119694 ,Nancy Clark,4 
521 ,11824 ,Scott Howard,0 
521 ,17971 ,Scott Larson,0 
522 ,4926 ,Paul Hoplin,2 
522 ,10633 ,Police Chief Bill Gillespie,1 
522 ,14293 ,Nick,2 
522 ,28932 ,Senator Madison,1 
522 ,31003 ,Dr. Frederick Van Helsing,1 
522 ,43626 ,Mordechai Samuels,2 
522 ,46525 ,Vasquel,2 
522 ,48155 ,Stanley Shriner Hoff,4 
522 ,64605 ,Paul Mason,1 
522 ,153652 ,Dr. Edmund McNally,2 
524 ,44835 ,Nicole,1 
526 ,9270 ,The Pin,2 
526 ,15749 ,Chuckie,1 
526 ,120518 ,Petey Goodwin,4 
528 ,31579 ,Elizabeth Mullin,3 
528 ,76094 ,June Tolliver,0 
529 ,10202 ,Kendall,2 
529 ,16083 ,Jimmy Starks,0 
529 ,16197 ,Brett,0 
529 ,46261 ,Alex Hirst,1 
529 ,66113 ,Mr. Barber,0 
529 ,301875 ,Jonas,2 
530 ,313 ,Maggie,2 
530 ,7353 ,Kelly Hanson,1 
530 ,218277 ,Elizabeth Fitzpayne,1 
530 ,285841 ,Olivia,4 
532 ,5187 ,Mickey,3 
532 ,9828 ,Bound Man,3 
532 ,15698 ,Snake,4 
532 ,16620 ,Bob Keane,6 
532 ,17035 ,Some Idiot,4 
532 ,20697 ,Titus Sinclair,8 
532 ,21721 ,Doc Robbins,2 
532 ,39691 ,Peek (voice),10 
532 ,193387 ,Roy,3 
534 ,9828 ,Bearded Man,10 
534 ,9945 ,Catlin,6 
534 ,28117 ,Cable Man,7 
534 ,32332 ,Pool Supply Man,1 
534 ,209189 ,Richard,6 
535 ,157336 ,Crew Chief,19 
537 ,2125 ,Warden Holliday,4 
537 ,75300 ,Ray,2 
539 ,9750 ,Karl Wolfschtagg,10 
539 ,52067 ,Roger Lemke,9 
539 ,174188 ,,5 
540 ,157841 ,Father,3 
540 ,327528 ,Dick,2 
543 ,33657 ,Nurse Wheeler,8 
544 ,320 ,Farrell,9 
564 ,339751 ,Himself,6 
569 ,80 ,Jesse,0 
569 ,26390 ,Sal,2 
569 ,132344 ,Jesse,0 
569 ,145066 ,Matthew Price,2 
569 ,240745 ,Iachimo,3 
569 ,327528 ,Chet Baker,0 
569 ,333484 ,Goodnight Robicheaux,2 
585 ,2125 ,Frank Warren,0 
585 ,7096 ,King Vortigern,9 
585 ,11248 ,SS-Sturmbannführer Xavier March,0 
585 ,12239 ,John Tanner,0 
585 ,17585 ,Thomas Burns,1 
585 ,21610 ,Wulfgar,1 
585 ,37943 ,Claude Maillot Van Horn,2 
585 ,60703 ,Dr. Sam Dennis Charney,1 
585 ,66787 ,Sanford Pollard,2 
585 ,96404 ,Jim Malden,0 
586 ,9987 ,Mother,2 
586 ,44895 ,Linda Bronco,3 
586 ,103675 ,Mercedes,3 
586 ,220976 ,Christine,3 
586 ,352372 ,Madame,1 
587 ,41164 ,Vergil Sweet,0 
587 ,47260 ,Joe,0 
587 ,51765 ,Capitán Salazar,5 
587 ,56179 ,Gypsy,2 
588 ,8487 ,Coleman,4 
588 ,8744 ,Dino,9 
588 ,9040 ,Gallagher,6 
588 ,9073 ,Bill Wilcox,9 
588 ,13161 ,Lew Popper,6 
588 ,15148 ,Mickey Hopkins,2 
588 ,16159 ,Mort Bisby,5 
588 ,26269 ,Lester Ivar,10 
